Image,Latitude,Longitude,Confidence,Top Left,Bottom Left,Bottom Right,Top Right,Ice Chunk Area
JHI_FullSurvey_75m_Flight_01_00061.JPG,58.84788767516667,-137.1136051617222,0.8515639901161194,"(2104,1624)","(2104,1715)","(2129,1715)","(2129,1624)",0
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,0.9572774767875672,"(1839,1311)","(1839,1414)","(1946,1414)","(1946,1311)",42742.5
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,0.8681662082672119,"(1889,1375)","(1889,1429)","(1939,1429)","(1939,1375)",42742.5
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,0.9105321764945984,"(2077,3759)","(2077,3850)","(2113,3850)","(2113,3759)",0
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.84832155780556,-137.11299677766667,0.9388657808303832,"(3853,321)","(3853,388)","(3912,388)","(3912,321)",25656.5
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.84832155780556,-137.11299677766667,0.8962082862854004,"(3857,353)","(3857,409)","(3950,409)","(3950,353)",25656.5
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.84832155780556,-137.11299677766667,0.956141471862793,"(1764,3564)","(1764,3666)","(1870,3666)","(1870,3564)",41336.5
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.84832155780556,-137.11299677766667,0.8876946568489075,"(1811,3628)","(1811,3680)","(1862,3680)","(1862,3628)",41336.5
JHI_FullSurvey_75m_Flight_01_00064.JPG,58.84853540672223,-137.11269874080554,0.9461827278137208,"(3956,2569)","(3956,2632)","(4016,2632)","(4016,2569)",25583.5
JHI_FullSurvey_75m_Flight_01_00064.JPG,58.84853540672223,-137.11269874080554,0.9388216733932496,"(3955,2599)","(3955,2661)","(4054,2661)","(4054,2599)",25583.5
JHI_FullSurvey_75m_Flight_01_00067.JPG,58.84918449141667,-137.11178651227775,0.9004917144775391,"(4947,475)","(4947,533)","(5039,533)","(5039,475)",0
JHI_FullSurvey_75m_Flight_01_00067.JPG,58.84918449141667,-137.11178651227775,0.924738109111786,"(5118,541)","(5118,590)","(5205,590)","(5205,541)",0
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,0.8905020952224731,"(4949,2647)","(4949,2692)","(5031,2692)","(5031,2647)",0
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,0.8622750043869019,"(5077,2726)","(5077,2748)","(5119,2748)","(5119,2726)",2259.0
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,0.8580819964408875,"(5120,2717)","(5120,2749)","(5161,2749)","(5161,2717)",2259.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9269427061080932,"(5393,207)","(5393,274)","(5456,274)","(5456,207)",20468.5
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9429867267608644,"(5379,253)","(5379,320)","(5492,320)","(5492,253)",20468.5
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.937013864517212,"(864,3744)","(864,3807)","(927,3807)","(927,3744)",26540.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9261712431907654,"(815,3704)","(815,3758)","(928,3758)","(928,3704)",26540.0
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9402405619621276,"(911,3721)","(911,3810)","(990,3810)","(990,3721)",26540.0
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.85129610461112,-137.10693084272222,0.950489103794098,"(860,1888)","(860,1976)","(937,1976)","(937,1888)",7791.5
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.85129610461112,-137.10693084272222,0.8724822402000427,"(975,1920)","(975,1965)","(1003,1965)","(1003,1920)",8666.5
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.85129610461112,-137.10693084272222,0.9329358339309692,"(5377,2434)","(5377,2501)","(5441,2501)","(5441,2434)",20251.5
JHI_FullSurvey_75m_Flight_01_00152.JPG,58.85129610461112,-137.10693084272222,0.943236529827118,"(5363,2485)","(5363,2543)","(5475,2543)","(5475,2485)",20251.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.93940669298172,"(3460,254)","(3460,349)","(3519,349)","(3519,254)",22123.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9605622887611388,"(3520,223)","(3520,336)","(3609,336)","(3609,223)",22123.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9337338805198668,"(610,900)","(610,997)","(675,997)","(675,900)",17547.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9066187739372252,"(2197,868)","(2197,912)","(2300,912)","(2300,868)",24476.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9465438723564148,"(2647,701)","(2647,759)","(2748,759)","(2748,701)",33066.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.889936089515686,"(2708,739)","(2708,772)","(2772,772)","(2772,739)",33066.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9321755766868592,"(2145,1615)","(2145,1673)","(2205,1673)","(2205,1615)",23819.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.8610984683036804,"(2117,1611)","(2117,1692)","(2151,1692)","(2151,1611)",23819.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9665724635124208,"(1988,2744)","(1988,2858)","(2083,2858)","(2083,2744)",30169.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9143028259277344,"(2034,2755)","(2034,2806)","(2105,2806)","(2105,2755)",30169.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9396643042564392,"(4529,2726)","(4529,2814)","(4646,2814)","(4646,2726)",24858.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9656283855438232,"(3765,2472)","(3765,2559)","(3846,2559)","(3846,2472)",22130.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.931016206741333,"(3698,2499)","(3698,2593)","(3760,2593)","(3760,2499)",22130.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9622474908828736,"(3761,2471)","(3761,2579)","(3839,2579)","(3839,2471)",22130.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9357089996337892,"(2466,3121)","(2466,3175)","(2559,3175)","(2559,3121)",23657.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9434264898300172,"(2902,2957)","(2902,3015)","(3002,3015)","(3002,2957)",32635.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.8780346512794495,"(2964,2997)","(2964,3023)","(3025,3023)","(3025,2997)",32635.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9446276426315308,"(937,3200)","(937,3264)","(994,3264)","(994,3200)",16513.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9329530596733092,"(2439,3859)","(2439,3911)","(2495,3911)","(2495,3859)",22469.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.8528505563735962,"(2411,3850)","(2411,3936)","(2444,3936)","(2444,3850)",22469.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9590060114860536,"(1394,861)","(1394,979)","(1496,979)","(1496,861)",15241.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9396016001701356,"(192,2768)","(192,2852)","(256,2852)","(256,2768)",5886.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9529784321784972,"(878,2769)","(878,2855)","(945,2855)","(945,2769)",13151.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9100010395050048,"(941,2779)","(941,2871)","(982,2871)","(982,2779)",13151.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9577110409736632,"(2681,2814)","(2681,2907)","(2767,2907)","(2767,2814)",14390.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9415609836578368,"(1663,3802)","(1663,3879)","(1720,3879)","(1720,3802)",35014.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.8837820291519165,"(1589,3854)","(1589,3932)","(1620,3932)","(1620,3854)",35014.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9480023384094238,"(3612,1125)","(3612,1204)","(3661,1204)","(3661,1125)",29310.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.947895646095276,"(3563,1136)","(3563,1233)","(3633,1233)","(3633,1136)",29310.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.8890284895896912,"(3887,1472)","(3887,1511)","(3954,1511)","(3954,1472)",27802.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.917978823184967,"(4184,1363)","(4184,1444)","(4222,1444)","(4222,1363)",26199.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9414543509483336,"(2221,1808)","(2221,1889)","(2322,1889)","(2322,1808)",46665.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.8880724310874939,"(2309,1831)","(2309,1879)","(2367,1879)","(2367,1831)",46665.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9298359751701356,"(1073,1952)","(1073,2029)","(1133,2029)","(1133,1952)",75982.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9118435978889464,"(1118,1910)","(1118,1999)","(1170,1999)","(1170,1910)",75982.5
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.945902943611145,"(2769,1368)","(2769,1437)","(2854,1437)","(2854,1368)",11780.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9448371529579164,"(670,3117)","(670,3217)","(756,3217)","(756,3117)",17662.5
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9188568592071532,"(657,3131)","(657,3188)","(719,3188)","(719,3131)",17662.5
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9391300082206726,"(1168,3330)","(1168,3399)","(1255,3399)","(1255,3330)",23636.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.880700945854187,"(1070,3391)","(1070,3428)","(1166,3428)","(1166,3391)",23636.0
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9522933959960938,"(2923,3592)","(2923,3679)","(3016,3679)","(3016,3592)",14482.5
