Image,Seal_Count
JHI_FullSurvey_75m_Flight_01_00736.JPG,10
JHI_FullSurvey_75m_Flight_01_00310.JPG,7
JHI_FullSurvey_75m_Flight_01_00361.JPG,2
JHI_FullSurvey_75m_Flight_01_00371.JPG,17
JHI_FullSurvey_75m_Flight_01_00621.JPG,24
JHI_FullSurvey_75m_Flight_01_00061.JPG,1
JHI_FullSurvey_75m_Flight_01_00527.JPG,19
JHI_FullSurvey_75m_Flight_01_00373.JPG,12
JHI_FullSurvey_75m_Flight_01_00740.JPG,4
JHI_FullSurvey_75m_Flight_01_00402.JPG,11
JHI_FullSurvey_75m_Flight_01_00506.JPG,16
JHI_FullSurvey_75m_Flight_01_00525.JPG,18
JHI_FullSurvey_75m_Flight_01_00619.JPG,31
JHI_FullSurvey_75m_Flight_01_00635.JPG,35
JHI_FullSurvey_75m_Flight_01_00513.JPG,10
JHI_FullSurvey_75m_Flight_01_00064.JPG,2
JHI_FullSurvey_75m_Flight_01_00322.JPG,9
JHI_FullSurvey_75m_Flight_01_00618.JPG,30
JHI_FullSurvey_75m_Flight_01_00515.JPG,7
JHI_FullSurvey_75m_Flight_01_00372.JPG,17
