Image,Latitude,Longitude,Confidence,Top Left,Bottom Left,Bottom Right,Top Right
JHI_FullSurvey_75m_Flight_01_00061.JPG,58.84788767516667,-137.1136051617222,0.8515639901161194,"(2104,1624)","(2104,1715)","(2129,1715)","(2129,1624)"
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,0.9572774767875671,"(1839,1311)","(1839,1414)","(1946,1414)","(1946,1311)"
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,0.8681662082672119,"(1889,1375)","(1889,1429)","(1939,1429)","(1939,1375)"
JHI_FullSurvey_75m_Flight_01_00062.JPG,58.848099883083336,-137.11330834469445,0.9105321764945984,"(2077,3759)","(2077,3850)","(2113,3850)","(2113,3759)"
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,0.9388657808303833,"(3853,321)","(3853,388)","(3912,388)","(3912,321)"
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,0.8962082862854004,"(3857,353)","(3857,409)","(3950,409)","(3950,353)"
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,0.956141471862793,"(1764,3564)","(1764,3666)","(1870,3666)","(1870,3564)"
JHI_FullSurvey_75m_Flight_01_00063.JPG,58.848321557805555,-137.11299677766667,0.8876946568489075,"(1811,3628)","(1811,3680)","(1862,3680)","(1862,3628)"
JHI_FullSurvey_75m_Flight_01_00064.JPG,58.84853540672223,-137.11269874080554,0.9461827278137207,"(3956,2569)","(3956,2632)","(4016,2632)","(4016,2569)"
JHI_FullSurvey_75m_Flight_01_00064.JPG,58.84853540672223,-137.11269874080554,0.9388216733932495,"(3955,2599)","(3955,2661)","(4054,2661)","(4054,2599)"
JHI_FullSurvey_75m_Flight_01_00067.JPG,58.84918449141667,-137.11178651227777,0.9004917144775391,"(4947,475)","(4947,533)","(5039,533)","(5039,475)"
JHI_FullSurvey_75m_Flight_01_00067.JPG,58.84918449141667,-137.11178651227777,0.9247381091117859,"(5118,541)","(5118,590)","(5205,590)","(5205,541)"
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,0.8905020952224731,"(4949,2647)","(4949,2692)","(5031,2692)","(5031,2647)"
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,0.8622750043869019,"(5077,2726)","(5077,2748)","(5119,2748)","(5119,2726)"
JHI_FullSurvey_75m_Flight_01_00068.JPG,58.84939950580556,-137.11148547641668,0.8580819964408875,"(5120,2717)","(5120,2749)","(5161,2749)","(5161,2717)"
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9269427061080933,"(5393,207)","(5393,274)","(5456,274)","(5456,207)"
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9429867267608643,"(5379,253)","(5379,320)","(5492,320)","(5492,253)"
JHI_FullSurvey_75m_Flight_01_00151.JPG,58.85151298188889,-137.10662155005554,0.9370138645172119,"(864,3744)","(864,3807)","(927,3807)","(927,3744)"
