Image,Latitude,Longitude,Confidence,Top Left,Bottom Left,Bottom Right,Top Right
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.8989712595939636,"(2711,743)","(2711,770)","(2770,770)","(2770,743)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9310235381126404,"(3774,2479)","(3774,2569)","(3838,2569)","(3838,2479)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.929809033870697,"(2469,3132)","(2469,3178)","(2569,3178)","(2569,3132)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9089953303337097,"(2911,2961)","(2911,3008)","(3000,3008)","(3000,2961)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9146896600723267,"(941,3175)","(941,3258)","(987,3258)","(987,3175)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9077404141426086,"(2411,3848)","(2411,3935)","(2444,3935)","(2444,3848)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9015732407569885,"(3703,2506)","(3703,2571)","(3746,2571)","(3746,2506)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.888187825679779,"(2450,3866)","(2450,3910)","(2490,3910)","(2490,3866)"
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.8738471865653992,"(2967,2999)","(2967,3021)","(3025,3021)","(3025,2999)"
JHI_FullSurvey_75m_Flight_01_00267.JPG,58.85015689625,-137.10473871425,0.9174656867980957,"(4655,2589)","(4655,2644)","(4742,2644)","(4742,2589)"
JHI_FullSurvey_75m_Flight_01_00267.JPG,58.85015689625,-137.10473871425,0.9014478921890259,"(4656,2576)","(4656,2605)","(4718,2605)","(4718,2576)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9248157739639282,"(1407,876)","(1407,969)","(1491,969)","(1491,876)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9267151355743408,"(2685,2821)","(2685,2890)","(2752,2890)","(2752,2821)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.8968141674995422,"(890,2767)","(890,2853)","(939,2853)","(939,2767)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9049457311630249,"(944,2783)","(944,2871)","(981,2871)","(981,2783)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9118433594703674,"(1666,3809)","(1666,3878)","(1708,3878)","(1708,3809)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9012007117271423,"(1590,3855)","(1590,3932)","(1620,3932)","(1620,3855)"
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.863661527633667,"(1721,3)","(1721,33)","(1788,33)","(1788,3)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9171870350837708,"(2232,1822)","(2232,1879)","(2318,1879)","(2318,1822)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9267844557762146,"(3567,1147)","(3567,1227)","(3623,1227)","(3623,1147)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9231701493263245,"(1120,1915)","(1120,1999)","(1163,1999)","(1163,1915)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9160796403884888,"(3619,1131)","(3619,1203)","(3659,1203)","(3659,1131)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9069743752479553,"(1082,1957)","(1082,2029)","(1121,2029)","(1121,1957)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9192864298820496,"(3887,1474)","(3887,1513)","(3951,1513)","(3951,1474)"
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9096530675888062,"(4191,1365)","(4191,1442)","(4220,1442)","(4220,1365)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.92856365442276,"(679,3128)","(679,3210)","(747,3210)","(747,3128)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9040586948394775,"(2935,3599)","(2935,3666)","(3009,3666)","(3009,3599)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9069446921348572,"(1070,3394)","(1070,3427)","(1167,3427)","(1167,3394)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9136857986450195,"(1175,3336)","(1175,3377)","(1252,3377)","(1252,3336)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.9228445291519165,"(2775,1378)","(2775,1417)","(2852,1417)","(2852,1378)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.906313955783844,"(668,3142)","(668,3186)","(715,3186)","(715,3142)"
JHI_FullSurvey_75m_Flight_01_00317.JPG,58.852066498333336,-137.10016577644444,0.8883829712867737,"(2988,3618)","(2988,3641)","(3045,3641)","(3045,3618)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9140831828117371,"(880,1898)","(880,1999)","(940,1999)","(940,1898)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.8916894793510437,"(2127,3284)","(2127,3336)","(2229,3336)","(2229,3284)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9076114892959595,"(5374,403)","(5374,455)","(5450,455)","(5450,403)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9036916494369507,"(3631,1898)","(3631,1981)","(3678,1981)","(3678,1898)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9264479279518127,"(277,669)","(277,750)","(323,750)","(323,669)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9329310059547424,"(1195,2408)","(1195,2462)","(1258,2462)","(1258,2408)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9176304936408997,"(1230,2323)","(1230,2401)","(1273,2401)","(1273,2323)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.9070343971252441,"(4689,79)","(4689,165)","(4722,165)","(4722,79)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.8970689177513123,"(5363,382)","(5363,419)","(5432,419)","(5432,382)"
JHI_FullSurvey_75m_Flight_01_00320.JPG,58.85271791411111,-137.0992502217778,0.8988720178604126,"(3453,1729)","(3453,1808)","(3483,1808)","(3483,1729)"
