epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,628.062,1.13499,1.67969,0.60694,1.04755,0.922,0.95112,0.95409,0.63391,0.93243,0.95168,0.95527,0.55632,1.15901,1.73808,0.62426,1.05829,9.01e-05,9.01e-05,9.01e-05
12,684.937,1.10286,1.66363,0.59988,1.03374,0.92617,0.96127,0.95378,0.65226,0.92248,0.95744,0.95226,0.5515,1.13457,1.91988,0.59648,1.04421,8.911e-05,8.911e-05,8.911e-05
13,741.911,1.08374,1.61773,0.58097,1.02976,0.92275,0.95402,0.94454,0.65544,0.92275,0.95402,0.94519,0.57193,1.12827,1.73247,0.58468,1.05225,8.812e-05,8.812e-05,8.812e-05
14,798.802,1.06556,1.5916,0.56845,1.02098,0.92249,0.95756,0.95793,0.65133,0.92249,0.95756,0.95732,0.55939,1.12771,1.75215,0.60504,1.0493,8.713e-05,8.713e-05,8.713e-05
15,855.574,1.05098,1.55566,0.55784,1.01259,0.92936,0.95779,0.94991,0.636,0.92936,0.95779,0.95177,0.5583,1.1318,1.71163,0.58416,1.05409,8.614e-05,8.614e-05,8.614e-05
16,912.44,1.05448,1.56386,0.55634,1.00654,0.92178,0.96169,0.95093,0.65263,0.92608,0.96552,0.95514,0.55877,1.14758,1.80584,0.56266,1.06692,8.515e-05,8.515e-05,8.515e-05
17,969.254,1.04058,1.53221,0.54558,1.01639,0.92022,0.95019,0.95965,0.65629,0.91753,0.94636,0.95676,0.56871,1.16724,1.77169,0.58326,1.06227,8.416e-05,8.416e-05,8.416e-05
18,1026.2,1.0188,1.52758,0.54759,1.00062,0.92985,0.96491,0.9548,0.62231,0.92616,0.96108,0.95016,0.56185,1.1696,1.76658,0.5757,1.05779,8.317e-05,8.317e-05,8.317e-05
19,1083.22,1.01151,1.48744,0.54598,0.99913,0.92333,0.96892,0.96051,0.65007,0.92333,0.96892,0.95807,0.57493,1.15025,1.72242,0.55831,1.08954,8.218e-05,8.218e-05,8.218e-05
20,1141.9,0.97906,1.47236,0.52042,0.98703,0.92148,0.96552,0.95507,0.65657,0.92514,0.96935,0.95456,0.57433,1.14311,1.77904,0.54274,1.05718,8.119e-05,8.119e-05,8.119e-05
21,1199.13,0.97793,1.44893,0.5117,0.98167,0.93054,0.97531,0.94965,0.64852,0.93054,0.97531,0.94979,0.57178,1.13935,1.78117,0.5711,1.05047,8.02e-05,8.02e-05,8.02e-05
22,1262.44,0.94311,1.42051,0.51661,0.96792,0.9078,0.9808,0.94861,0.65484,0.90652,0.98084,0.94948,0.57393,1.16271,1.77881,0.54035,1.06546,7.921e-05,7.921e-05,7.921e-05
23,1319.9,0.93622,1.40291,0.49053,0.9642,0.91358,0.97208,0.95537,0.66095,0.91358,0.97208,0.95576,0.5693,1.15151,1.78236,0.5488,1.07125,7.822e-05,7.822e-05,7.822e-05
24,1377.07,0.93528,1.40302,0.49173,0.9697,0.92699,0.97701,0.956,0.67053,0.92699,0.97701,0.956,0.59027,1.12328,1.76002,0.52378,1.05557,7.723e-05,7.723e-05,7.723e-05
25,1433.95,0.94536,1.41647,0.50342,0.96915,0.92233,0.96552,0.95295,0.67053,0.92542,0.96935,0.955,0.57796,1.13415,1.72177,0.54522,1.0682,7.624e-05,7.624e-05,7.624e-05
26,1491.16,0.92169,1.36866,0.48265,0.9646,0.93029,0.97701,0.96069,0.67807,0.93029,0.97701,0.96069,0.58983,1.13487,1.78119,0.50581,1.04863,7.525e-05,7.525e-05,7.525e-05
27,1548.13,0.8911,1.33387,0.46544,0.93951,0.92275,0.98084,0.95868,0.66024,0.92275,0.98084,0.96065,0.58425,1.13929,1.84641,0.52885,1.05444,7.426e-05,7.426e-05,7.426e-05
28,1605.25,0.90166,1.33735,0.47664,0.95652,0.89742,0.97201,0.94673,0.65669,0.92527,0.96552,0.95548,0.57159,1.16109,1.84583,0.53506,1.05879,7.327e-05,7.327e-05,7.327e-05
29,1662.21,0.91162,1.32802,0.47919,0.96122,0.93583,0.96552,0.9542,0.66174,0.93583,0.96552,0.95467,0.58705,1.15804,1.77554,0.54255,1.05758,7.228e-05,7.228e-05,7.228e-05
30,1719.73,0.87873,1.32489,0.46428,0.95075,0.91853,0.98084,0.95905,0.67003,0.91853,0.98084,0.95908,0.58856,1.14373,1.82335,0.51003,1.05928,7.129e-05,7.129e-05,7.129e-05
31,1777.28,0.86257,1.30353,0.46347,0.9382,0.92042,0.9749,0.95459,0.65473,0.92042,0.9749,0.95567,0.56961,1.12603,1.89574,0.51908,1.05979,7.03e-05,7.03e-05,7.03e-05
32,1834.7,0.88186,1.29364,0.46079,0.94744,0.92561,0.97701,0.96213,0.66687,0.92198,0.97318,0.96155,0.591,1.13373,1.76282,0.51851,1.05543,6.931e-05,6.931e-05,6.931e-05
33,1892.05,0.85612,1.28426,0.43901,0.94495,0.91365,0.973,0.95578,0.65842,0.91725,0.97683,0.9573,0.58057,1.13121,1.9549,0.52479,1.05409,6.832e-05,6.832e-05,6.832e-05
34,1949.14,0.83159,1.25997,0.43296,0.92311,0.92992,0.96604,0.96347,0.671,0.92992,0.96604,0.96228,0.59436,1.11898,1.76988,0.51864,1.07941,6.733e-05,6.733e-05,6.733e-05
35,2006.21,0.8249,1.23585,0.43545,0.92764,0.93471,0.95402,0.96582,0.67487,0.93095,0.95019,0.96507,0.59797,1.14,1.91373,0.5157,1.07024,6.634e-05,6.634e-05,6.634e-05
36,2063.52,0.84399,1.22249,0.43621,0.93116,0.93022,0.97041,0.96442,0.65531,0.92655,0.96658,0.96298,0.57273,1.18607,1.90344,0.52651,1.07873,6.535e-05,6.535e-05,6.535e-05
37,2120.64,0.81703,1.22171,0.43539,0.92683,0.94209,0.95785,0.95977,0.65566,0.94209,0.95785,0.95977,0.57106,1.15638,2.00908,0.51807,1.07686,6.436e-05,6.436e-05,6.436e-05
38,2177.92,0.81011,1.2096,0.42435,0.92223,0.92517,0.97701,0.96885,0.67161,0.92517,0.97701,0.9688,0.58707,1.12887,1.96649,0.5083,1.0646,6.337e-05,6.337e-05,6.337e-05
39,2235.1,0.80839,1.26235,0.42896,0.9267,0.91806,0.97318,0.9588,0.67407,0.91806,0.97318,0.96149,0.57474,1.15162,2.00507,0.52233,1.0824,6.238e-05,6.238e-05,6.238e-05
40,2292.31,0.78534,1.1791,0.41871,0.90769,0.93377,0.9723,0.9617,0.66884,0.93368,0.97099,0.96178,0.58988,1.14933,1.99326,0.48402,1.07328,6.139e-05,6.139e-05,6.139e-05
41,2349.89,0.78888,1.16716,0.42547,0.91343,0.92317,0.97701,0.96738,0.67874,0.92317,0.97701,0.96749,0.59624,1.11535,1.91149,0.49753,1.06784,6.04e-05,6.04e-05,6.04e-05
42,2407.67,0.77101,1.17014,0.41124,0.91264,0.93507,0.96169,0.96061,0.66782,0.93507,0.96169,0.96098,0.5747,1.12646,2.03023,0.4973,1.06431,5.941e-05,5.941e-05,5.941e-05
43,2464.94,0.7698,1.17249,0.42097,0.9131,0.92404,0.97701,0.9653,0.66837,0.92404,0.97701,0.96536,0.58787,1.14915,1.94848,0.51013,1.09473,5.842e-05,5.842e-05,5.842e-05
44,2521.89,0.77546,1.17869,0.42233,0.91604,0.92009,0.97059,0.95942,0.65065,0.92373,0.97442,0.96014,0.58586,1.15664,2.03362,0.51975,1.08956,5.743e-05,5.743e-05,5.743e-05
45,2578.98,0.75687,1.13453,0.40282,0.90875,0.91277,0.98467,0.96309,0.6683,0.91277,0.98467,0.96309,0.58693,1.1242,1.8746,0.50749,1.08317,5.644e-05,5.644e-05,5.644e-05
46,2636.53,0.75404,1.15237,0.40164,0.90671,0.91436,0.98172,0.96248,0.6755,0.91792,0.98555,0.96352,0.59053,1.11598,2.01751,0.49625,1.06148,5.545e-05,5.545e-05,5.545e-05
47,2693.9,0.75662,1.13011,0.40729,0.90845,0.91786,0.9847,0.96241,0.67342,0.91786,0.9847,0.96241,0.59632,1.13329,2.01996,0.50395,1.07765,5.446e-05,5.446e-05,5.446e-05
48,2751.34,0.73452,1.11727,0.40202,0.89777,0.91683,0.98084,0.96514,0.68016,0.91683,0.98084,0.96523,0.58851,1.13493,1.98845,0.50212,1.0786,5.347e-05,5.347e-05,5.347e-05
49,2809.3,0.73645,1.11481,0.39699,0.90207,0.92459,0.96935,0.95765,0.66164,0.92825,0.97318,0.9644,0.58628,1.12907,2.00934,0.50252,1.07067,5.248e-05,5.248e-05,5.248e-05
50,2866.44,0.74427,1.11935,0.40033,0.91489,0.92754,0.98084,0.96152,0.68659,0.93116,0.98467,0.96433,0.60697,1.12737,1.979,0.50733,1.07641,5.149e-05,5.149e-05,5.149e-05
51,2923.8,0.7236,1.09137,0.3963,0.8997,0.93642,0.95931,0.96323,0.6652,0.94015,0.96305,0.96384,0.57952,1.11655,2.07575,0.50541,1.095,5.05e-05,5.05e-05,5.05e-05
52,2981.19,0.71606,1.07331,0.3834,0.88628,0.9402,0.95785,0.96664,0.68462,0.93644,0.95402,0.96386,0.597,1.12233,1.97929,0.50396,1.07327,4.951e-05,4.951e-05,4.951e-05
53,3038.31,0.71051,1.08876,0.38454,0.89245,0.93405,0.97701,0.96865,0.67598,0.94175,0.97318,0.96918,0.59557,1.11498,2.10112,0.49407,1.07009,4.852e-05,4.852e-05,4.852e-05
54,3095.17,0.69296,1.06112,0.38335,0.88754,0.92332,0.96169,0.96231,0.67043,0.92332,0.96169,0.96285,0.59012,1.11271,2.14401,0.50672,1.08131,4.753e-05,4.753e-05,4.753e-05
55,3152.07,0.70847,1.06517,0.38656,0.89135,0.93691,0.96726,0.96655,0.68299,0.93317,0.96296,0.96658,0.591,1.1161,2.11229,0.48799,1.07174,4.654e-05,4.654e-05,4.654e-05
56,3209.07,0.69604,1.05639,0.37955,0.87946,0.93296,0.95975,0.95647,0.66939,0.92923,0.95591,0.95602,0.57916,1.11169,2.07332,0.50435,1.07628,4.555e-05,4.555e-05,4.555e-05
57,3266.07,0.68048,1.0344,0.37792,0.87746,0.92139,0.97318,0.97031,0.66771,0.91777,0.96935,0.96777,0.58433,1.14167,2.22165,0.49537,1.0828,4.456e-05,4.456e-05,4.456e-05
58,3322.99,0.68044,1.04119,0.37921,0.87925,0.93178,0.97318,0.96437,0.66056,0.93178,0.97318,0.96527,0.5803,1.12803,2.14189,0.49151,1.08039,4.357e-05,4.357e-05,4.357e-05
59,3379.87,0.67625,1.02119,0.37911,0.88792,0.93399,0.97318,0.97026,0.67132,0.93399,0.97318,0.97026,0.57938,1.12233,2.22278,0.49923,1.07976,4.258e-05,4.258e-05,4.258e-05
60,3436.98,0.68205,1.04632,0.38333,0.88176,0.92429,0.98228,0.96002,0.66312,0.92992,0.96598,0.95996,0.58491,1.10967,2.1898,0.49666,1.06744,4.159e-05,4.159e-05,4.159e-05
61,3493.92,0.65692,1.00301,0.36459,0.87591,0.92628,0.97701,0.96443,0.66785,0.92628,0.97701,0.96456,0.59168,1.12556,2.15909,0.49864,1.08843,4.06e-05,4.06e-05,4.06e-05
62,3550.94,0.65407,1.00069,0.36619,0.86976,0.93891,0.97318,0.965,0.68079,0.93522,0.96935,0.96412,0.59335,1.14439,2.30126,0.48744,1.08282,3.961e-05,3.961e-05,3.961e-05
63,3608.46,0.66374,1.00124,0.36655,0.87874,0.92276,0.97701,0.97029,0.67311,0.92276,0.97701,0.97029,0.58474,1.1343,2.2423,0.4975,1.0891,3.862e-05,3.862e-05,3.862e-05
64,3665.36,0.63847,0.98521,0.35879,0.87318,0.93243,0.97318,0.96179,0.68534,0.93074,0.97828,0.96673,0.59985,1.10611,2.10458,0.48647,1.07281,3.763e-05,3.763e-05,3.763e-05
65,3722.07,0.62729,0.95811,0.35366,0.86615,0.93023,0.98084,0.96738,0.68852,0.93023,0.98084,0.96803,0.61054,1.12041,2.21581,0.49853,1.08788,3.664e-05,3.664e-05,3.664e-05
66,3779.26,0.64193,0.96079,0.35759,0.87407,0.92985,0.965,0.96154,0.67775,0.92985,0.965,0.9664,0.60018,1.12419,2.32508,0.48773,1.08049,3.565e-05,3.565e-05,3.565e-05
67,3836.68,0.64742,0.9919,0.35689,0.87078,0.92963,0.97701,0.96318,0.66939,0.92564,0.97318,0.96219,0.589,1.11626,2.29056,0.48853,1.08839,3.466e-05,3.466e-05,3.466e-05
68,3893.51,0.63372,0.96253,0.35555,0.87508,0.93884,0.97318,0.96275,0.67227,0.93514,0.96935,0.96212,0.59087,1.1188,2.23243,0.47958,1.10206,3.367e-05,3.367e-05,3.367e-05
69,3951.01,0.63132,0.97685,0.35165,0.87601,0.93028,0.97318,0.96256,0.6729,0.92662,0.96935,0.96196,0.59234,1.11968,2.28635,0.48552,1.07445,3.268e-05,3.268e-05,3.268e-05
70,4008.34,0.61322,0.93988,0.34539,0.86606,0.94251,0.96552,0.96705,0.67701,0.93877,0.96169,0.96647,0.60377,1.13024,2.27889,0.49077,1.08291,3.169e-05,3.169e-05,3.169e-05
71,4065.54,0.63088,0.94682,0.35015,0.87072,0.94323,0.96935,0.96947,0.68317,0.94323,0.96935,0.96961,0.59997,1.11839,2.35733,0.47492,1.07408,3.07e-05,3.07e-05,3.07e-05
72,4122.69,0.60389,0.93309,0.33717,0.85676,0.93556,0.97318,0.96508,0.67445,0.93262,0.97701,0.96473,0.59442,1.11786,2.25367,0.48123,1.07762,2.971e-05,2.971e-05,2.971e-05
73,4179.88,0.60284,0.91777,0.33667,0.86453,0.94615,0.96935,0.96999,0.68258,0.94615,0.96935,0.96984,0.5994,1.12247,2.37232,0.48524,1.07596,2.872e-05,2.872e-05,2.872e-05
74,4237.08,0.61165,0.92136,0.34899,0.86005,0.91818,0.97701,0.96951,0.68229,0.93973,0.95019,0.97032,0.59766,1.1208,2.36443,0.48466,1.08202,2.773e-05,2.773e-05,2.773e-05
75,4294.09,0.58738,0.91897,0.33029,0.85415,0.93168,0.96552,0.96578,0.68135,0.93168,0.96552,0.97021,0.60277,1.11099,2.42855,0.47784,1.07106,2.674e-05,2.674e-05,2.674e-05
76,4351.01,0.60023,0.93464,0.34142,0.85956,0.93422,0.96552,0.96575,0.69104,0.93422,0.96552,0.96579,0.60163,1.10945,2.42055,0.48406,1.06232,2.575e-05,2.575e-05,2.575e-05
77,4407.96,0.5968,0.90645,0.33513,0.86212,0.94466,0.96169,0.96586,0.68305,0.94081,0.95785,0.96543,0.60028,1.1049,2.34444,0.47855,1.06893,2.476e-05,2.476e-05,2.476e-05
78,4465.34,0.58949,0.90593,0.33056,0.86297,0.94019,0.96367,0.96376,0.6781,0.93645,0.95984,0.9632,0.60314,1.11078,2.3827,0.49351,1.07433,2.377e-05,2.377e-05,2.377e-05
79,4522.24,0.58707,0.89905,0.33203,0.86267,0.94056,0.97011,0.96678,0.67843,0.93685,0.96628,0.96602,0.59758,1.11736,2.53303,0.48279,1.07823,2.278e-05,2.278e-05,2.278e-05
80,4579.37,0.58885,0.9219,0.33214,0.85927,0.93186,0.96552,0.96045,0.67365,0.93556,0.96935,0.96657,0.5912,1.11431,2.41156,0.49006,1.07261,2.179e-05,2.179e-05,2.179e-05
81,4636.27,0.59049,0.88992,0.33026,0.85745,0.94358,0.96935,0.96534,0.68442,0.93406,0.97698,0.96501,0.59125,1.10348,2.5963,0.47592,1.07312,2.08e-05,2.08e-05,2.08e-05
82,4693.46,0.57422,0.90544,0.33093,0.85758,0.93478,0.96935,0.96768,0.68726,0.93109,0.96552,0.96713,0.60552,1.1068,2.45487,0.48593,1.07397,1.981e-05,1.981e-05,1.981e-05
83,4750.53,0.57905,0.88952,0.32855,0.85984,0.93752,0.97738,0.96609,0.6883,0.93752,0.97738,0.96717,0.60459,1.10844,2.46674,0.4813,1.07303,1.882e-05,1.882e-05,1.882e-05
84,4807.59,0.56909,0.87016,0.3248,0.84928,0.93269,0.97701,0.96641,0.6855,0.93269,0.97701,0.96811,0.60088,1.12293,2.53757,0.47735,1.08183,1.783e-05,1.783e-05,1.783e-05
85,4863.99,0.57391,0.87934,0.32541,0.856,0.9291,0.97318,0.96446,0.68276,0.93281,0.97701,0.97024,0.60198,1.10701,2.49019,0.47516,1.07303,1.684e-05,1.684e-05,1.684e-05
