epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0803,1.6565,2.74811,1.42051,1.32698,0.91142,0.88123,0.94049,0.57491,0.70358,0.69117,0.5982,0.16039,1.37205,5.92739,0.80886,1.11767,0.0669921,3.30409e-05,3.30409e-05
2,115.401,1.40736,2.16408,0.85973,1.1475,0.89381,0.87077,0.9252,0.5906,0.89272,0.86084,0.92543,0.4792,1.24638,2.06264,0.81711,1.08098,0.0336914,6.57172e-05,6.57172e-05
3,172.601,1.3104,2.02346,0.75291,1.08992,0.92678,0.92138,0.95114,0.62005,0.92678,0.92138,0.95131,0.5371,1.2209,1.89235,0.68911,1.04796,0.000390131,9.77334e-05,9.77334e-05
4,229.821,1.25912,1.94205,0.73909,1.08128,0.94491,0.90421,0.95741,0.62956,0.94404,0.90421,0.95733,0.51102,1.20042,2.00448,0.7162,1.06728,9.703e-05,9.703e-05,9.703e-05
5,286.686,1.25554,1.92574,0.71695,1.0843,0.89653,0.92951,0.95121,0.65268,0.89108,0.9272,0.94908,0.5572,1.11954,1.81339,0.66545,1.02521,9.604e-05,9.604e-05,9.604e-05
6,343.558,1.23025,1.82551,0.70994,1.07302,0.90142,0.94591,0.93699,0.61977,0.90839,0.94982,0.9402,0.53906,1.18248,1.80091,0.67658,1.05923,9.505e-05,9.505e-05,9.505e-05
7,400.526,1.20363,1.81643,0.6713,1.07427,0.90848,0.94636,0.93999,0.62827,0.90848,0.94636,0.94043,0.53894,1.15562,1.82317,0.67633,1.04982,9.406e-05,9.406e-05,9.406e-05
8,457.319,1.16752,1.74846,0.6511,1.05331,0.92799,0.93819,0.94614,0.63262,0.92799,0.93819,0.94614,0.55117,1.1588,1.75646,0.64432,1.0571,9.307e-05,9.307e-05,9.307e-05
9,514.275,1.14892,1.7027,0.62855,1.05151,0.90763,0.94253,0.94789,0.64248,0.91132,0.94636,0.94858,0.54303,1.18607,1.9175,0.64517,1.06987,9.208e-05,9.208e-05,9.208e-05
10,571.265,1.13056,1.71102,0.61978,1.04339,0.92753,0.93169,0.94546,0.62105,0.93516,0.93935,0.9512,0.55376,1.20078,1.87809,0.63002,1.07841,9.109e-05,9.109e-05,9.109e-05
