Image,Seal_Count
JHI_FullSurvey_75m_Flight_01_00527.JPG,19
JHI_FullSurvey_75m_Flight_01_00621.JPG,23
JHI_FullSurvey_75m_Flight_01_00063.JPG,4
JHI_FullSurvey_75m_Flight_01_00619.JPG,29
JHI_FullSurvey_75m_Flight_01_00365.JPG,21
JHI_FullSurvey_75m_Flight_01_00642.JPG,29
JHI_FullSurvey_75m_Flight_01_00731.JPG,17
JHI_FullSurvey_75m_Flight_01_00622.JPG,26
JHI_FullSurvey_75m_Flight_01_00367.JPG,12
JHI_FullSurvey_75m_Flight_01_00516.JPG,12
JHI_FullSurvey_75m_Flight_01_00064.JPG,2
JHI_FullSurvey_75m_Flight_01_00520.JPG,10
JHI_FullSurvey_75m_Flight_01_00337.JPG,4
JHI_FullSurvey_75m_Flight_01_00067.JPG,2
JHI_FullSurvey_75m_Flight_01_00310.JPG,9
JHI_FullSurvey_75m_Flight_01_00364.JPG,16
JHI_FullSurvey_75m_Flight_01_00061.JPG,1
JHI_FullSurvey_75m_Flight_01_00372.JPG,17
JHI_FullSurvey_75m_Flight_01_00313.JPG,8
JHI_FullSurvey_75m_Flight_01_00740.JPG,3
