Image,Latitude,Longitude,Confidence,Top Left,Bottom Left,Bottom Right,Top Right,Ice Chunk Area
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.8610984683036804,"(2117,1611)","(2117,1692)","(2151,1692)","(2151,1611)",24943.0
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9665724635124208,"(1988,2744)","(1988,2858)","(2083,2858)","(2083,2744)",30871.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9143028259277344,"(2034,2755)","(2034,2806)","(2105,2806)","(2105,2755)",30871.5
JHI_FullSurvey_75m_Flight_01_00257.JPG,58.85231794272222,-137.1017075269722,0.9396643042564392,"(4529,2726)","(4529,2814)","(4646,2814)","(4646,2726)",25832.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.963468074798584,"(3761,2472)","(3761,2579)","(3846,2579)","(3846,2472)",22644.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.931016206741333,"(3698,2499)","(3698,2593)","(3760,2593)","(3760,2499)",22644.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9389142990112304,"(930,3173)","(930,3263)","(994,3263)","(994,3173)",17300.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9342414140701294,"(2466,3118)","(2466,3181)","(2579,3181)","(2579,3118)",24153.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9420291185379028,"(2901,2957)","(2901,3015)","(3003,3015)","(3003,2957)",33975.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.8780346512794495,"(2964,2997)","(2964,3023)","(3025,3023)","(3025,2997)",33975.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.722531795501709,"(939,3176)","(939,3239)","(959,3239)","(959,3176)",17300.5
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.9318893551826476,"(2438,3859)","(2438,3911)","(2495,3911)","(2495,3859)",23723.0
JHI_FullSurvey_75m_Flight_01_00258.JPG,58.85209893363889,-137.1020064339722,0.8483838438987732,"(2411,3849)","(2411,3936)","(2444,3936)","(2444,3849)",23723.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9590060114860536,"(1394,861)","(1394,979)","(1496,979)","(1496,861)",15412.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.8284552097320557,"(3903,1357)","(3903,1393)","(3923,1393)","(3923,1357)",0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.8415112495422363,"(4547,1270)","(4547,1307)","(4575,1307)","(4575,1270)",0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9396016001701356,"(192,2768)","(192,2852)","(256,2852)","(256,2768)",6070.5
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9496692419052124,"(878,2769)","(878,2855)","(946,2855)","(946,2769)",14201.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9068161249160768,"(941,2779)","(941,2871)","(983,2871)","(983,2779)",14201.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9573853015899658,"(2680,2814)","(2680,2907)","(2767,2907)","(2767,2814)",14902.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.9415609836578368,"(1663,3802)","(1663,3879)","(1720,3879)","(1720,3802)",36206.0
JHI_FullSurvey_75m_Flight_01_00310.JPG,58.850553963416665,-137.10229613544445,0.8837106823921204,"(1589,3853)","(1589,3933)","(1621,3933)","(1621,3853)",36206.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9480023384094238,"(3612,1125)","(3612,1204)","(3661,1204)","(3661,1125)",32244.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9467617273330688,"(3563,1135)","(3563,1233)","(3633,1233)","(3633,1135)",32244.0
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.8890284895896912,"(3887,1472)","(3887,1511)","(3954,1511)","(3954,1472)",30275.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.917978823184967,"(4184,1363)","(4184,1444)","(4222,1444)","(4222,1363)",28158.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.9399365186691284,"(2221,1809)","(2221,1890)","(2323,1890)","(2323,1809)",48477.5
JHI_FullSurvey_75m_Flight_01_00313.JPG,58.85120210625,-137.10137334380556,0.8734119534492493,"(2309,1831)","(2309,1880)","(2367,1880)","(2367,1831)",48477.5
