epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,847.366,0.90723,1.40736,0.47594,0.94655,0.89973,0.96429,0.96029,0.67426,0.89973,0.96429,0.95587,0.58567,1.10709,1.84572,0.53635,1.0132,7.228e-05,7.228e-05,7.228e-05
30,876.186,0.84719,1.34687,0.45545,0.92919,0.93885,0.91387,0.95206,0.66068,0.93494,0.91667,0.94985,0.56702,1.13478,1.99544,0.56564,1.03776,7.129e-05,7.129e-05,7.129e-05
31,905.192,0.86045,1.3483,0.46522,0.93295,0.9247,0.95031,0.95029,0.6508,0.9247,0.95031,0.94594,0.57266,1.13711,1.89583,0.55367,1.04787,7.03e-05,7.03e-05,7.03e-05
32,934.005,0.85731,1.34302,0.46023,0.93945,0.93242,0.94048,0.95756,0.67419,0.93832,0.94643,0.95573,0.59813,1.1358,1.92401,0.55461,1.04792,6.931e-05,6.931e-05,6.931e-05
33,962.748,0.82024,1.26973,0.44478,0.92308,0.92087,0.94048,0.95384,0.66802,0.92087,0.94048,0.95195,0.57351,1.15426,2.07978,0.55452,1.05792,6.832e-05,6.832e-05,6.832e-05
34,991.76,0.84206,1.34163,0.44947,0.93205,0.89263,0.95238,0.94798,0.67637,0.89263,0.95238,0.94706,0.57109,1.13032,2.07247,0.56207,1.05396,6.733e-05,6.733e-05,6.733e-05
35,1021.61,0.82696,1.27085,0.43519,0.92799,0.92975,0.92262,0.95161,0.66174,0.92975,0.92262,0.95269,0.5761,1.12211,2.01166,0.54478,1.04892,6.634e-05,6.634e-05,6.634e-05
36,1051.42,0.83786,1.29138,0.45168,0.93276,0.92914,0.93654,0.94596,0.67829,0.92914,0.93654,0.94383,0.58983,1.10056,1.95004,0.52523,1.02994,6.535e-05,6.535e-05,6.535e-05
37,1081.21,0.80025,1.24438,0.43258,0.91741,0.94003,0.933,0.94321,0.67515,0.929,0.94048,0.94842,0.58418,1.12548,1.9908,0.5364,1.04462,6.436e-05,6.436e-05,6.436e-05
38,1109.94,0.81774,1.2584,0.44006,0.91843,0.93905,0.91711,0.9573,0.66104,0.92907,0.93567,0.95529,0.58595,1.12814,2.06795,0.53832,1.04799,6.337e-05,6.337e-05,6.337e-05
39,1138.67,0.79325,1.21783,0.4347,0.91542,0.92301,0.92765,0.94554,0.66548,0.92893,0.9336,0.94846,0.57966,1.12723,2.06101,0.5464,1.05652,6.238e-05,6.238e-05,6.238e-05
40,1167.54,0.78723,1.24112,0.43201,0.91661,0.91785,0.93112,0.93966,0.66563,0.90725,0.95833,0.94887,0.55478,1.11147,2.1733,0.54624,1.05287,6.139e-05,6.139e-05,6.139e-05
41,1196.32,0.7731,1.22039,0.42499,0.91193,0.8985,0.95833,0.93816,0.66284,0.90421,0.96429,0.94416,0.56555,1.09218,2.17171,0.54386,1.0464,6.04e-05,6.04e-05,6.04e-05
42,1225.12,0.77636,1.17998,0.42816,0.91529,0.9285,0.95238,0.94814,0.65769,0.9343,0.95833,0.95156,0.57222,1.16714,2.08986,0.54365,1.08007,5.941e-05,5.941e-05,5.941e-05
43,1253.86,0.78921,1.20327,0.42398,0.91525,0.93766,0.92262,0.94645,0.67064,0.9437,0.92857,0.95251,0.57912,1.13154,2.12063,0.53407,1.0817,5.842e-05,5.842e-05,5.842e-05
