epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,2992.26,0.7859,0.39116,0.97889,0.96259,0.99231,0.99048,0.82452,0.71021,0.34492,0.95479,8.713e-05,8.713e-05,8.713e-05
41,3070.47,0.76633,0.37633,0.97049,0.95996,0.99066,0.99124,0.83782,0.70147,0.34983,0.96093,8.68e-05,8.68e-05,8.68e-05
42,3148.62,0.76597,0.38099,0.97513,0.97271,0.97245,0.98986,0.83046,0.72134,0.35482,0.95611,8.647e-05,8.647e-05,8.647e-05
43,3226.61,0.77427,0.38086,0.97357,0.96481,0.98185,0.99177,0.8478,0.67881,0.3397,0.9357,8.614e-05,8.614e-05,8.614e-05
44,3305.01,0.76775,0.38244,0.96326,0.97972,0.97521,0.99183,0.85018,0.68354,0.33508,0.92633,8.581e-05,8.581e-05,8.581e-05
45,3383.36,0.74867,0.37169,0.96117,0.97004,0.98129,0.99172,0.85031,0.65267,0.32736,0.92209,8.548e-05,8.548e-05,8.548e-05
46,3461.33,0.72844,0.36821,0.95232,0.98398,0.9697,0.99057,0.84501,0.69415,0.34043,0.94512,8.515e-05,8.515e-05,8.515e-05
47,3539.32,0.74852,0.37451,0.96459,0.9525,0.99432,0.99086,0.84615,0.65937,0.32941,0.94107,8.482e-05,8.482e-05,8.482e-05
48,3617.28,0.74365,0.36885,0.96426,0.96075,0.98623,0.99133,0.83673,0.67896,0.34114,0.95225,8.449e-05,8.449e-05,8.449e-05
49,3695.24,0.7221,0.36236,0.94415,0.96996,0.97521,0.99196,0.85282,0.65522,0.32924,0.92259,8.416e-05,8.416e-05,8.416e-05
50,3773.25,0.71925,0.36445,0.94472,0.96484,0.9828,0.99174,0.84729,0.64406,0.32243,0.93357,8.383e-05,8.383e-05,8.383e-05
