epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.5832,1.8956,3.34077,1.80328,1.75219,0.00018,0.03065,9e-05,3e-05,0,0,0,0,nan,nan,nan,nan,0.0702632,0.00330409,0.00330409
2,145.454,1.80746,2.98289,1.27188,1.68592,0.62291,0.53797,0.53683,0.24936,0.52639,0.45564,0.42789,0.14186,2.18093,3.73813,4.87839,2.31212,0.0401974,0.00657172,0.00657172
3,216.896,1.7012,2.85159,1.13378,1.626,0.68615,0.17591,0.22642,0.12245,0.67124,0.18775,0.23126,0.09478,2.63768,6.00727,3.09727,2.79058,0.0100657,0.00977334,0.00977334
4,288.069,1.6715,2.77084,1.09313,1.58355,0.80091,0.75479,0.8341,0.47412,0.80556,0.73021,0.78338,0.33341,1.57343,3.00711,1.0526,1.64608,0.009703,0.009703,0.009703
5,359.24,1.63497,2.68689,1.07659,1.55059,0.83661,0.88284,0.88814,0.49693,0.83655,0.8824,0.88702,0.37662,1.59267,2.54344,1.02878,1.64781,0.009604,0.009604,0.009604
6,430.1,1.60976,2.63976,1.04044,1.52414,0.85066,0.86973,0.90015,0.51825,0.839,0.8659,0.88205,0.39301,1.45393,2.47888,0.9734,1.55326,0.009505,0.009505,0.009505
7,501.048,1.59869,2.58982,0.99855,1.53358,0.85402,0.83525,0.88514,0.51537,0.81849,0.80843,0.83884,0.35821,1.53403,2.65154,0.93946,1.62681,0.009406,0.009406,0.009406
8,572.28,1.54287,2.50697,0.97319,1.46966,0.92491,0.84949,0.89061,0.54025,0.91661,0.84232,0.87105,0.3659,1.45043,2.54692,1.23471,1.53194,0.009307,0.009307,0.009307
9,643.741,1.53128,2.46642,0.9331,1.47583,0.88206,0.81609,0.84715,0.50966,0.87121,0.80345,0.82293,0.3719,1.4662,2.60068,1.24325,1.54296,0.009208,0.009208,0.009208
10,715.304,1.54423,2.47724,0.94458,1.47831,0.87631,0.89578,0.91929,0.56143,0.87631,0.89578,0.9072,0.45385,1.41443,2.20423,0.91486,1.51227,0.009109,0.009109,0.009109
11,786.828,1.5148,2.39271,0.89759,1.45075,0.88629,0.86604,0.91879,0.56127,0.87845,0.85837,0.90757,0.42385,1.39089,2.36535,0.8567,1.46181,0.00901,0.00901,0.00901
12,858.271,1.46007,2.39409,0.8754,1.4229,0.92721,0.85824,0.92824,0.57612,0.92307,0.85441,0.91583,0.45129,1.37887,2.29872,0.83398,1.46947,0.008911,0.008911,0.008911
13,929.834,1.46674,2.34707,0.86716,1.43162,0.88304,0.91188,0.93279,0.59028,0.88188,0.91541,0.91541,0.45444,1.38189,2.22066,0.774,1.46314,0.008812,0.008812,0.008812
14,1001.52,1.43358,2.32066,0.84894,1.39787,0.85371,0.92337,0.90715,0.55577,0.84663,0.91571,0.90548,0.42965,1.35621,2.2038,0.84618,1.43443,0.008713,0.008713,0.008713
15,1073.03,1.43352,2.27348,0.85873,1.39401,0.89391,0.90395,0.91933,0.57797,0.89391,0.90395,0.92125,0.46566,1.34027,2.16643,0.76768,1.44823,0.008614,0.008614,0.008614
16,1144.5,1.43373,2.25405,0.83698,1.39677,0.89194,0.89655,0.91873,0.59077,0.89576,0.90038,0.92304,0.46485,1.25008,2.09375,0.82839,1.38409,0.008515,0.008515,0.008515
17,1216.17,1.42386,2.23646,0.83872,1.392,0.91611,0.89655,0.92301,0.58627,0.90981,0.90421,0.92353,0.47375,1.28339,2.09676,0.72935,1.38836,0.008416,0.008416,0.008416
18,1287.83,1.39921,2.18106,0.82613,1.37911,0.91904,0.8659,0.92219,0.59966,0.91404,0.87356,0.92112,0.47858,1.32174,2.0777,0.74567,1.4182,0.008317,0.008317,0.008317
19,1359.49,1.38717,2.14639,0.78702,1.37174,0.91193,0.87739,0.94265,0.60672,0.91193,0.87739,0.93321,0.49361,1.34033,2.06609,0.74365,1.44264,0.008218,0.008218,0.008218
20,1431.1,1.38095,2.1429,0.79786,1.34558,0.91492,0.90421,0.93511,0.61316,0.9188,0.90805,0.93825,0.48369,1.34315,2.18064,0.72284,1.41952,0.008119,0.008119,0.008119
21,1502.83,1.35898,2.12053,0.77622,1.34223,0.89704,0.92337,0.93964,0.60115,0.87814,0.90421,0.91655,0.49701,1.27562,2.03986,0.72845,1.37829,0.00802,0.00802,0.00802
22,1574.5,1.33956,2.06833,0.77438,1.32648,0.91354,0.89063,0.93268,0.60975,0.90967,0.88747,0.92644,0.49531,1.30946,2.03933,0.69477,1.39421,0.007921,0.007921,0.007921
23,1646.26,1.31535,2.03417,0.7528,1.30854,0.90305,0.92793,0.93947,0.59905,0.90678,0.93176,0.93797,0.49914,1.27293,2.06799,0.70813,1.37864,0.007822,0.007822,0.007822
24,1717.17,1.35488,2.09097,0.7578,1.33663,0.924,0.90038,0.94434,0.61494,0.89405,0.93761,0.93946,0.50611,1.25743,1.98123,0.69826,1.36828,0.007723,0.007723,0.007723
25,1788.29,1.35335,2.11969,0.7727,1.32809,0.90108,0.90746,0.93493,0.59916,0.90108,0.90746,0.93219,0.50813,1.28647,2.07043,0.71248,1.38685,0.007624,0.007624,0.007624
26,1859.32,1.35329,2.04454,0.75103,1.3353,0.90648,0.92842,0.94046,0.61916,0.91056,0.93618,0.94228,0.51595,1.28501,1.99257,0.69514,1.37861,0.007525,0.007525,0.007525
27,1930.43,1.28089,1.94389,0.72262,1.28586,0.90168,0.9387,0.93984,0.63768,0.90168,0.9387,0.93873,0.51892,1.23038,1.9673,0.68164,1.34577,0.007426,0.007426,0.007426
28,2001.53,1.29923,1.98384,0.71205,1.28917,0.90444,0.93487,0.94472,0.61619,0.91178,0.9387,0.94242,0.51668,1.27264,1.91303,0.67263,1.37854,0.007327,0.007327,0.007327
29,2072.5,1.30262,1.98128,0.72215,1.31053,0.93409,0.90421,0.94377,0.63481,0.93805,0.90805,0.94413,0.53204,1.25526,1.95248,0.66662,1.36114,0.007228,0.007228,0.007228
30,2143.66,1.30447,2.00233,0.71864,1.31918,0.92488,0.89626,0.94376,0.60777,0.92883,0.90009,0.94338,0.52595,1.25744,1.93112,0.68568,1.36453,0.007129,0.007129,0.007129
31,2214.47,1.28229,1.96501,0.70228,1.29499,0.92026,0.93103,0.93958,0.63737,0.92742,0.91954,0.9389,0.52651,1.24821,1.90702,0.66931,1.34986,0.00703,0.00703,0.00703
32,2285.52,1.29615,1.96405,0.70308,1.28615,0.91064,0.91954,0.94372,0.62116,0.91064,0.91954,0.9454,0.52784,1.28382,1.88493,0.63415,1.3753,0.006931,0.006931,0.006931
